Linguistic_Weight,Evidence_Weight,Accuracy,Precision,Recall,F1_Score
0.00,1.00,0.4786,0.5202,0.5010,0.4976
0.05,0.95,0.5158,0.5503,0.5102,0.5339
0.10,0.90,0.5703,0.5735,0.5464,0.5651
0.15,0.85,0.5977,0.5907,0.5772,0.5928
0.20,0.80,0.5995,0.6100,0.6215,0.6174
0.25,0.75,0.6511,0.6286,0.6170,0.6358
0.30,0.70,0.6514,0.6674,0.6336,0.6533
0.35,0.65,0.6656,0.6939,0.6489,0.6709
0.40,0.60,0.6834,0.6930,0.6809,0.6783
0.45,0.55,0.6709,0.6881,0.6767,0.6820
0.50,0.50,0.6643,0.7002,0.6653,0.6788
0.55,0.45,0.6718,0.6919,0.6554,0.6762
0.60,0.40,0.6502,0.6584,0.6519,0.6672
0.65,0.35,0.6595,0.6522,0.6536,0.6533
0.70,0.30,0.6425,0.6396,0.6509,0.6425
0.75,0.25,0.6308,0.6262,0.6324,0.6228
0.80,0.20,0.5881,0.5910,0.6014,0.5978
0.85,0.15,0.5841,0.5968,0.5741,0.5704
0.90,0.10,0.5635,0.5477,0.5337,0.5455
0.95,0.05,0.5018,0.5337,0.5195,0.5109
1.00,0.00,0.4796,0.4730,0.4470,0.4669
